Price,Beds,Baths,Living Space,City,Median Household Income,Zip Code Density
950000.0,6,2,1920,Staten Island,118113.0,3980.1
750000.0,4,2,1853,Staten Island,118113.0,3980.1
1148888.0,4,3,1980,Staten Island,118113.0,3980.1
998000.0,3,1,2288,Staten Island,118113.0,3980.1
849000.0,4,2,2511,Staten Island,118113.0,3980.1
575000.0,2,1,1200,Staten Island,118113.0,3980.1
575000.0,2,1,1200,Staten Island,118113.0,3980.1
225000.0,2,1,800,Staten Island,118113.0,3980.1
579999.0,4,3,1644,Staten Island,118113.0,3980.1
525000.0,3,2,1476,Staten Island,118113.0,3980.1
260000.0,1,1,596,Staten Island,118113.0,3980.1
699999.0,6,2,2039,Staten Island,118113.0,3980.1
998000.0,5,3,2288,Staten Island,118113.0,3980.1
658888.0,3,1,1692,Staten Island,118113.0,3980.1
689900.0,3,2,1486,Staten Island,118113.0,3980.1
490000.0,7,2,2256,Staten Island,118113.0,3980.1
950000.0,6,2,1920,Staten Island,118113.0,3980.1
799000.0,4,3,1872,Staten Island,98699.0,3346.5
475000.0,3,2,1274,Staten Island,98699.0,3346.5
315000.0,3,1,895,Staten Island,98699.0,3346.5
669000.0,2,3,804,Staten Island,98699.0,3346.5
779000.0,4,4,1872,Staten Island,98699.0,3346.5
649900.0,3,3,1434,Staten Island,98699.0,3346.5
779000.0,4,4,1872,Staten Island,98699.0,3346.5
649900.0,3,3,1434,Staten Island,98699.0,3346.5
785000.0,4,2,1628,Staten Island,98699.0,3346.5
389000.0,2,2,980,Staten Island,98699.0,3346.5
698888.0,4,1,2425,Staten Island,108942.0,4850.0
375000.0,3,2,1102,Staten Island,108942.0,4850.0
375000.0,3,2,1102,Staten Island,108942.0,4850.0
650000.0,3,2,1110,Staten Island,108942.0,4850.0
579999.0,3,3,1152,Staten Island,108942.0,4850.0
369000.0,3,2,1080,Staten Island,108942.0,4850.0
650000.0,3,2,1110,Staten Island,108942.0,4850.0
649000.0,3,4,2281,Staten Island,108942.0,4850.0
387999.0,2,1,648,Staten Island,108942.0,4850.0
649899.0,5,3,1334,Staten Island,108942.0,4850.0
